"OrphaCode","Name","DisorderType","DisorderGroup","ICD10_Reference","ICD10_MappingRelation"
"163693","2p21 microdeletion syndrome","Disease","Disorder","Q93.5","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"163690","Hypotonia-cystinuria syndrome","Disease","Disorder","E72.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"337","Fibrodysplasia ossificans progressiva","Disease","Disorder","M61.1","E (Exact mapping: the two concepts are equivalent)"
"3444","Watson syndrome","Malformation syndrome","Disorder",NA,NA
"377","Gorlin syndrome","Malformation syndrome","Disorder","C44.9","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"648","Noonan syndrome","Malformation syndrome","Disorder","Q87.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"281","Monosomy 5p","Malformation syndrome","Disorder","Q93.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"752","46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency","Disease","Disorder","E29.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"214","Cystinuria","Disease","Disorder","E72.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"510","Lesch-Nyhan syndrome","Disease","Disorder","E79.1","E (Exact mapping: the two concepts are equivalent)"
"524","Li-Fraumeni syndrome","Disease","Disorder","C97","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"699","Pearson syndrome","Disease","Disorder","D64.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"640","Hereditary neuropathy with liability to pressure palsies","Malformation syndrome","Disorder","G60.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"60","Alpha-1-antitrypsin deficiency","Disease","Disorder","E88.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"895","Waardenburg syndrome type 2","Clinical subtype","Subtype of disorder","E70.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"896","Waardenburg syndrome type 3","Clinical subtype","Subtype of disorder","E70.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"3140","NON RARE IN EUROPE: Schizophrenia","Disease","Disorder",NA,NA
"857","Townes-Brocks syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"894","Waardenburg syndrome type 1","Clinical subtype","Subtype of disorder","E70.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"682","Hyperkalemic periodic paralysis","Disease","Disorder","G72.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"800","Schwartz-Jampel syndrome","Disease","Disorder","Q78.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"706","NON RARE IN EUROPE: Patent arterial duct","Morphological anomaly","Disorder","Q25.0","E (Exact mapping: the two concepts are equivalent)"
"628","Diastrophic dysplasia","Disease","Disorder","Q77.5","E (Exact mapping: the two concepts are equivalent)"
"673","Malaria","Disease","Disorder","B54","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"681","Hypokalemic periodic paralysis","Disease","Disorder","G72.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"126","Blepharophimosis-ptosis-epicanthus inversus syndrome","Malformation syndrome","Disorder","Q10.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"107","BOR syndrome","Malformation syndrome","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"774","Hereditary hemorrhagic telangiectasia","Disease","Disorder","I78.0","E (Exact mapping: the two concepts are equivalent)"
"794","Saethre-Chotzen syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"710","Pfeiffer syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2869","Peutz-Jeghers syndrome","Disease","Disorder","Q85.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"862","NON RARE IN EUROPE: Hereditary essential tremor","Disease","Disorder","G25.0","E (Exact mapping: the two concepts are equivalent)"
"893","WAGR syndrome","Malformation syndrome","Disorder","C64","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"912","Zellweger syndrome","Disease","Disorder","Q87.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"50","Aicardi syndrome","Disease","Disorder","Q04.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"53","Albers-Schönberg osteopetrosis","Malformation syndrome","Disorder","Q78.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"14","Abetalipoproteinemia","Disease","Disorder","E78.6","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"52","Alagille syndrome","Malformation syndrome","Disorder","Q44.7","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"167","Chédiak-Higashi syndrome","Disease","Disorder","E70.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"195","Cat-eye syndrome","Malformation syndrome","Disorder","Q92.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"207","Crouzon syndrome","Malformation syndrome","Disorder","Q75.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"205","Crigler-Najjar syndrome","Disease","Disorder","E80.5","E (Exact mapping: the two concepts are equivalent)"
"160148","Cap polyposis","Disease","Disorder","D12.6","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"201","Cowden syndrome","Disease","Disorder","Q85.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"192","Coffin-Lowry syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2442","X-linked lymphoproliferative disease","Clinical group","Group of disorders",NA,NA
"169808","Mild hemophilia A","Clinical subtype","Subtype of disorder","D66","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"169826","Congenital vitamin K-dependent coagulation factors deficiency","Category","Group of disorders",NA,NA
"169802","Severe hemophilia A","Clinical subtype","Subtype of disorder","D66","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"169805","Moderate hemophilia A","Clinical subtype","Subtype of disorder","D66","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"562","McCune-Albright syndrome","Disease","Disorder","Q78.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"565","Menkes disease","Disease","Disorder","E83.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2443","Mitochondrial oxidative phosphorylation disorder due to nuclear DNA anomalies","Category","Group of disorders",NA,NA
"555","NON RARE IN EUROPE: Celiac disease","Disease","Disorder","K90.0","E (Exact mapping: the two concepts are equivalent)"
"474","Jeune syndrome","Malformation syndrome","Disorder","Q77.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"540","Familial hemophagocytic lymphohistiocytosis","Disease","Disorder","D76.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"568","Microphthalmia, Lenz type","Malformation syndrome","Disorder","Q11.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"564","Meckel syndrome","Malformation syndrome","Disorder","Q61.9","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"289","Ellis Van Creveld syndrome","Malformation syndrome","Disorder","Q77.6","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"258","Laminin subunit alpha 2-related congenital muscular dystrophy","Malformation syndrome","Disorder","G71.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1247","Schistosomiasis","Disease","Disorder","B65.0","BTNT (ORPHAcode is broader than the targeted code used to represent it)"
"112","Bartter syndrome","Disease","Disorder","E26.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"169446","OBSOLETE: Autosomal recessive hyper-IgE syndrome","Category","Group of disorders",NA,NA
"169443","Specific antibody deficiency with normal immunoglobulin concentrations and normal numbers of B cells","Category","Group of disorders",NA,NA
"1646","Chromosome Y microdeletion","Malformation syndrome","Disorder","Q98.6","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"169464","Primary CD59 deficiency","Disease","Disorder","D84.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"99","Autosomal dominant cerebellar ataxia","Category","Group of disorders",NA,NA
"116","Beckwith-Wiedemann syndrome","Malformation syndrome","Disorder","Q87.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"87","Apert syndrome","Malformation syndrome","Disorder","Q87.0","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"169618","NON RARE IN EUROPE: Secondary central precocious puberty","Etiological subtype","Subtype of disorder",NA,NA
"169615","NON RARE IN EUROPE: Idiopathic central precocious puberty","Etiological subtype","Subtype of disorder",NA,NA
"97","Familial paroxysmal ataxia","Disease","Disorder","G11.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"169467","Recurrent Neisseria infections due to factor D deficiency","Disease","Disorder","D84.1","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"313","Lamellar ichthyosis","Disease","Disorder","Q80.2","E (Exact mapping: the two concepts are equivalent)"
"169799","Mild hemophilia B","Clinical subtype","Subtype of disorder","D67","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"169796","Moderate hemophilia B","Clinical subtype","Subtype of disorder","D67","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"169793","Severe hemophilia B","Clinical subtype","Subtype of disorder","D67","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"406","NON RARE IN EUROPE: Heterozygous familial hypercholesterolemia","Disease","Disorder","E78.0","E (Exact mapping: the two concepts are equivalent)"
"171220","Rectal duplication","Morphological anomaly","Disorder","Q43.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1000","Ocular albinism with late-onset sensorineural deafness","Disease","Disorder","E70.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"999","Ermine phenotype","Malformation syndrome","Disorder","E70.3","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"171430","Severe congenital nemaline myopathy","Disease","Disorder","G71.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"171433","Intermediate nemaline myopathy","Disease","Disorder","G71.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"171436","Typical nemaline myopathy","Disease","Disorder","G71.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"171439","Childhood-onset nemaline myopathy","Disease","Disorder","G71.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"55","Oculocutaneous albinism","Clinical group","Group of disorders",NA,NA
"171442","Adult-onset nemaline myopathy","Disease","Disorder","G71.2","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"171445","Muscle filaminopathy","Disease","Disorder","G71.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"171607","X-linked spastic paraplegia type 34","Disease","Disorder","G11.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"2771","Bruck syndrome","Malformation syndrome","Disorder","M21.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"106","NON RARE IN EUROPE: Autism","Malformation syndrome","Disorder","F84.0","E (Exact mapping: the two concepts are equivalent)"
"171612","Autosomal dominant spastic paraplegia type 37","Disease","Disorder","G11.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"171617","Autosomal dominant spastic paraplegia type 38","Disease","Disorder","G11.4","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
"1349","Mitochondrial DNA-related cardiomyopathy and hearing loss","Malformation syndrome","Disorder","E88.8","NTBT (ORPHAcode is narrower than the targeted code used to represent it)"
